Panel number,Suggested probability,agent 1,agent 2,agent 3,agent 4,agent 5,agent 6,agent 7,agent 8,agent 9,agent 10,agent 11,agent 12,agent 13,agent 14,agent 15,agent 16,agent 17,agent 18,agent 19,agent 20,agent 21,agent 22,agent 23,agent 24,agent 25,agent 26,agent 27,agent 28,agent 29,agent 30,agent 31,agent 32,agent 33,agent 34,agent 35
0,0.0017408129745957116,"111","150","152","154","16","186","225","233","258","274","275","283","325","35","357","399","422","435","441","443","503","505","523","533","633","638","7","733","858","906","939","940","942","946","98"
1,0.0017286144574835134,"101","106","108","120","128","134","182","286","318","32","330","331","435","443","444","47","52","570","587","598","61","671","713","73","75","766","78","8","900","906","908","91","950","953","962"
2,0.0008964533705160473,"106","152","168","171","186","192","20","235","258","268","32","347","369","376","435","443","452","510","589","615","735","738","749","75","770","796","797","830","871","904","906","91","946","968","979"
3,0.0006691572033789903,"106","120","129","13","134","142","172","173","180","207","213","227","343","399","435","443","447","462","473","481","644","658","705","707","735","810","822","83","835","871","900","906","91","947","949"
4,0.0013594837845817894,"109","148","236","26","263","301","32","370","384","390","435","443","493","541","560","563","566","637","693","702","754","784","787","822","831","842","867","870","877","900","906","936","958","967","995"
5,0.00021204301387157956,"113","134","163","212","219","227","233","264","32","368","373","435","443","490","554","57","586","595","685","723","729","744","75","768","784","794","798","811","845","873","891","900","905","906","995"
6,0.0003577721183144819,"152","20","268","28","294","351","369","376","403","413","419","435","441","443","458","484","53","553","56","59","669","693","713","719","740","753","770","771","777","782","900","906","932","936","959"
7,0.0003545891588569704,"107","117","121","186","207","208","231","304","422","435","443","451","453","478","535","550","554","555","556","618","624","658","701","711","731","76","762","810","853","872","878","888","900","906","917"
8,0.0030605203146479775,"11","113","191","206","224","245","253","27","32","370","410","422","435","443","452","474","496","498","538","625","728","751","775","783","814","833","842","865","868","886","900","906","931","958","988"
9,0.0008377164725655328,"158","177","18","186","195","198","208","258","277","282","301","309","339","346","363","374","418","435","441","443","457","478","486","487","496","513","555","59","611","642","647","699","889","900","906"
10,0.0010425328865417683,"108","120","131","134","154","168","217","224","233","245","27","320","368","435","443","475","508","530","538","558","567","572","585","604","669","7","713","753","783","786","831","900","906","939","940"
11,1.0033963044734548e-12,"113","122","186","2","24","288","368","371","401","435","443","474","492","512","52","535","571","572","590","670","719","729","762","778","793","801","825","850","872","900","906","925","928","951","953"
12,0.0016299289532059162,"105","152","195","316","319","335","358","380","387","414","419","434","435","443","487","488","513","516","542","558","57","605","625","74","740","763","779","786","900","906","907","913","922","938","999"
13,0.0030711785535559293,"160","185","187","196","210","268","323","327","328","355","368","413","435","443","45","485","504","531","562","61","616","632","641","659","672","674","760","833","855","900","906","935","936","941","985"
14,0.0006838391097757947,"106","115","117","120","143","152","206","208","209","214","234","237","262","32","354","410","428","429","435","443","456","497","579","59","603","654","694","697","739","75","859","900","906","91","914"
15,0.0011461758569393298,"164","168","207","235","238","268","433","435","443","501","511","535","536","541","565","58","581","658","735","762","797","810","866","872","879","896","900","906","920","930","933","936","943","958","997"
16,0.002349189618256486,"113","121","137","173","219","264","349","356","357","37","413","435","443","450","474","516","591","613","623","678","683","783","800","812","816","820","822","832","900","906","91","929","934","937","999"
17,0.0017726206149412864,"108","120","124","134","152","166","167","170","182","186","208","234","249","258","330","360","399","435","443","46","495","515","520","540","606","620","626","67","68","773","802","900","906","91","943"
18,0.00141848927729889,"105","12","149","158","195","197","206","23","234","277","278","351","402","410","412","421","434","435","443","460","487","499","669","725","82","872","885","894","900","901","906","913","922","925","991"
19,0.0010567308985722518,"106","122","152","208","243","258","272","310","391","393","435","443","463","468","486","579","59","621","627","647","653","665","678","72","722","737","743","758","870","878","900","906","967","992","999"
20,0.0008416955631407533,"120","160","166","235","255","303","347","357","359","364","365","413","435","443","470","503","504","529","591","596","615","661","685","686","692","70","704","713","870","891","893","900","906","922","951"
21,0.001720740600323106,"108","111","133","14","150","152","175","186","188","197","258","27","285","31","311","314","317","32","366","368","421","435","443","448","497","500","501","562","680","684","718","900","906","91","95"
22,0.0023988675226572,"113","120","134","152","158","219","264","265","268","272","316","32","368","372","424","428","429","435","443","468","477","483","530","538","572","578","59","736","763","79","900","906","91","914","971"
23,0.001416032851989127,"150","159","186","209","214","226","230","235","260","275","346","374","378","435","443","49","499","512","669","692","70","711","733","734","745","769","772","797","826","870","872","900","906","989","991"
24,0.0003364116602009561,"106","171","208","229","280","359","406","408","409","429","435","443","529","59","685","689","722","8","817","833","838","841","842","846","851","870","891","893","900","906","907","931","958","978","985"
25,0.0007202812935857713,"100","107","120","134","14","145","147","152","156","182","186","202","234","237","240","244","259","269","304","315","32","372","427","435","436","44","443","474","69","765","79","900","906","91","95"
26,5.546780888036267e-05,"110","13","131","132","137","158","264","284","356","357","359","435","439","443","482","493","591","608","613","638","675","678","759","767","778","780","793","800","812","832","900","906","91","945","951"
27,0.000562190101224642,"113","144","199","227","305","307","318","344","368","384","411","431","435","443","464","484","530","531","538","541","564","569","572","695","696","705","707","811","887","900","906","92","921","985","996"
